"time","h1","h2","h1_ss","h2_ss"
16.08,12.046310816494342,6.023131780460783,8,4
16.14,12.046316930131352,6.02313240689182,8,4
16.2,12.046322655147032,6.023133091598617,8,4
16.26,12.046328009439021,6.023133827884928,8,4
16.32,12.046333010125032,6.023134609294294,8,4
16.38,12.046337673527125,6.023135429583213,8,4
16.44,12.046342015156,6.023136282694332,8,4
16.5,12.046346049695247,6.023137162729622,8,4
16.56,12.046349790985657,6.023138063923561,8,4
16.62,12.046353252009485,6.02313898061632,8,4
16.68,12.046356471447053,6.023139926865888,8,4
16.74,12.046359455722099,6.023140893600027,8,4
16.8,12.046362209919389,6.023141871451514,8,4
16.86,12.046364746352086,6.0231428570748795,8,4
16.92,12.046367076674104,6.02314384730163,8,4
16.98,12.046369211875774,6.023144839121855,8,4
17.04,12.046371162279486,6.023145829665812,8,4
17.1,12.046372937535361,6.0231468161855215,8,4
17.16,12.046374546616915,6.023147796036366,8,4
17.22,12.0463759978167,6.023148766658677,8,4
17.28,12.046377298741985,6.023149725559324,8,4
17.34,12.046378481427015,6.023150684486144,8,4
17.4,12.04637954020786,6.023151634306479,8,4
17.46,12.046380480210996,6.023152572391003,8,4
17.52,12.046381308497725,6.02315349759369,8,4
17.58,12.046382031633456,6.02315440886232,8,4
17.64,12.046382655692003,6.023155305224939,8,4
17.7,12.046383186259796,6.023156185776298,8,4
17.76,12.046383628440147,6.023157049664305,8,4
17.82,12.046383986857492,6.023157896076474,8,4
17.88,12.046384265661658,6.023158724226366,8,4
17.94,12.04638446975038,6.023159533690858,8,4
18,12.046384627060817,6.023160330814333,8,4
18.06,12.046384724752278,6.023161110317342,8,4
18.12,12.046384767045744,6.023161871937061,8,4
18.18,12.04638475789886,6.023162615423681,8,4
18.24,12.046384701018203,6.0231633405291545,8,4
18.3,12.046384599871528,6.0231640469959595,8,4
18.36,12.046384457700022,6.023164734545834,8,4
18.42,12.046384277530565,6.02316540286855,8,4
18.48,12.046384062187991,6.023166051610655,8,4
18.54,12.046383814307335,6.023166680364223,8,4
18.6,12.046383537521583,6.023167290574425,8,4
18.66,12.046383238620693,6.023167889032512,8,4
18.72,12.046382916611872,6.0231684699872075,8,4
18.78,12.046382573960715,6.023169033462847,8,4
18.84,12.046382213049984,6.0231695794476146,8,4
18.9,12.046381836193763,6.023170107885423,8,4
18.96,12.04638144565164,6.023170618667785,8,4
19.02,12.046381043642853,6.02317111162568,8,4
19.08,12.046380632360481,6.023171586521437,8,4
19.14,12.046380213985598,6.023172043040602,8,4
19.2,12.046379790701438,6.023172480783812,8,4
19.26,12.046379360615852,6.023172903670913,8,4
19.32,12.046378920158489,6.023173317363133,8,4
19.38,12.046378476438694,6.0231737159443055,8,4
19.44,12.046378030871852,6.023174099584287,8,4
19.5,12.046377584857336,6.023174468423367,8,4
19.56,12.046377139788996,6.023174822568137,8,4
19.62,12.046376697065607,6.023175162087346,8,4
19.68,12.04637625810135,6.023175487007768,8,4
19.74,12.046375824336272,6.023175797310065,8,4
19.8,12.046375397246754,6.023176092924647,8,4
19.86,12.046374978355981,6.023176373727538,8,4
19.92,12.04637456148505,6.023176644011579,8,4
19.98,12.046374144797214,6.023176905541607,8,4
20.04,12.046373734557706,6.023177155387825,8,4
20.1,12.04637333137914,6.023177393860877,8,4
20.16,12.04637293585769,6.023177621263007,8,4
20.22,12.046372548578788,6.023177837886662,8,4
20.28,12.046372170122813,6.023178044013115,8,4
20.34,12.046371801070793,6.023178239911079,8,4
20.4,12.046371442010084,6.023178425835325,8,4
20.46,12.04637109354009,6.023178602025291,8,4
20.52,12.046370756277925,6.023178768703709,8,4
20.58,12.046370424774198,6.023178927725927,8,4
20.64,12.046370100149826,6.023179079154783,8,4
20.7,12.046369784706881,6.023179222721534,8,4
20.76,12.046369478474407,6.023179358762283,8,4
20.82,12.046369181459402,6.023179487608004,8,4
20.88,12.046368893649717,6.0231796095839085,8,4
20.94,12.046368615016949,6.023179725008831,8,4
21,12.046368345519333,6.023179834194592,8,4
21.06,12.046368085104643,6.023179937445385,8,4
21.12,12.046367833713077,6.023180035057143,8,4
21.18,12.04636759128016,6.023180127316919,8,4
21.24,12.046367355904879,6.023180214446962,8,4
21.3,12.04636712825982,6.023180296736921,8,4
21.36,12.046366908393699,6.02318037444676,8,4
21.42,12.046366696079454,6.02318044781655,8,4
21.48,12.046366491083493,6.0231805170738575,8,4
21.54,12.046366293167912,6.023180582433108,8,4
21.6,12.046366102092716,6.0231806440949365,8,4
21.66,12.046365917618052,6.023180702245549,8,4
21.72,12.046365739506452,6.023180757056068,8,4
21.78,12.046365567525038,6.0231808086818965,8,4
21.84,12.046365401447764,6.023180857262067,8,4
21.9,12.046365241057641,6.0231809029186,8,4
21.96,12.046365086148972,6.0231809457558585,8,4
22.02,12.046364936529567,6.023180985859904,8,4
22.08,12.046364792022985,6.023181023297845,8,4
22.14,12.046364652470753,6.023181058117204,8,4
22.2,12.046364517734599,6.02318109034526,8,4
22.26,12.046364387698677,6.023181119988412,8,4
22.32,12.046364262271807,6.023181147031533,8,4
22.38,12.046364141389681,6.023181171437322,8,4
22.44,12.046364025017114,6.0231811931456605,8,4
22.5,12.046363914734075,6.023181212965651,8,4
22.56,12.046363817150965,6.0231812351335465,8,4
22.62,12.04636372467555,6.023181255885026,8,4
22.68,12.046363637185374,6.023181275288416,8,4
22.74,12.046363554557246,6.02318129340404,8,4
22.8,12.046363476667212,6.023181310284218,8,4
22.86,12.046363403390561,6.023181325973267,8,4
22.92,12.046363334601834,6.023181340507499,8,4
22.98,12.046363270174806,6.023181353915221,8,4
23.04,12.046363209982509,6.023181366216735,8,4
23.1,12.046363153897207,6.02318137742434,8,4
23.16,12.046363101790428,6.023181387542328,8,4
23.22,12.046363053532923,6.02318139656699,8,4
23.28,12.046363008994701,6.0231814044866105,8,4
23.34,12.046362968045015,6.023181411281471,8,4
23.4,12.046362930552355,6.023181416923845,8,4
