"time","h1","h2"
22.3,7.983948807996697,3.990010787436194
22.4,7.984099777754626,3.9901084606314314
22.5,7.984249416241502,3.990205034489003
22.6,7.984397727361199,3.990300533700794
22.7,7.984544714738355,3.990394983120346
22.8,7.984690381616082,3.9904884079318856
22.9,7.984834753252681,3.9905807972176373
23,7.984977834463358,3.990672173032308
23.1,7.985119625294631,3.9907625649063556
23.2,7.985260132536824,3.9908519911199103
23.3,7.985399362926111,3.9909404697644484
23.4,7.985537323091555,3.9910280188315967
23.5,7.985674019502152,3.991114656301931
23.6,7.985809468339442,3.9912003840618007
23.7,7.98594368153386,3.9912852106571495
23.8,7.986076662111138,3.9913691588782774
23.9,7.986208418824791,3.991452241921263
24,7.98633896048402,3.991534472632166
24.1,7.986468295929253,3.991615863549397
24.2,7.986596434007687,3.9916964269460773
24.3,7.986723385281565,3.9917761720316185
24.4,7.986849160985137,3.9918551066640355
24.5,7.986973768786134,3.9919332443011855
24.6,7.987097218144454,3.992010595217569
24.7,7.98721951852126,3.9920871694427498
24.8,7.987340679361512,3.9921629767922684
24.9,7.987460710076476,3.99223802689855
25,7.98757962055179,3.992312328361193
25.1,7.9876974217034125,3.9923858878169383
25.2,7.9878141220485706,3.9924587156875226
25.3,7.987929731083705,3.9925308205207504
25.4,7.988044258240354,3.9926022107417842
25.5,7.988157712871077,3.9926728946783707
25.6,7.988270104235362,3.992742880586076
25.7,7.988381441485555,3.9928121766735174
25.8,7.988491733652768,3.9928807911275976
25.9,7.988600989632792,3.9929487321387325
26,7.988709218172019,3.993016007926086
26.1,7.98881642785336,3.993082626762802
26.2,7.9889226270821565,3.9931485970012344
26.3,7.9890278240720995,3.993213927098185
26.4,7.989132026831145,3.993278625640127
26.5,7.989235261014652,3.9933426721358507
26.6,7.989337523216717,3.9934060934387845
26.7,7.98943882170346,3.9934688971053744
26.8,7.989539164895372,3.993531090241334
26.9,7.989638561071925,3.9935926799871226
27,7.9897370183633605,3.9936536735335646
27.1,7.9898345447424886,3.9937140781374607
27.2,7.9899311480164785,3.9937739011372093
27.3,7.990026835818652,3.993833149968418
27.4,7.990121615600279,3.9938918321795245
27.5,7.990215494622368,3.993949955447408
27.6,7.990308479947469,3.9940075275930087
27.7,7.9904005784314505,3.994064556596941
27.8,7.990491796715312,3.994121050615114
27.9,7.990582164533721,3.9941769789963235
28,7.990671684467707,3.994232356324375
28.1,7.990760355124447,3.994287203651049
28.2,7.990848184081436,3.99434152684844
28.3,7.990935178818018,3.994395331778161
28.4,7.991021346713028,3.9944486242971826
28.5,7.991106695042425,3.994501410263672
28.6,7.991191230976931,3.9945536955428307
28.7,7.9912749615796805,3.9946054860127376
28.8,7.9913578938038485,3.994656787570183
28.9,7.991440034490296,3.994707606136509
29,7.991521390365205,3.9947579476634503
29.1,7.991601968037725,3.994807818138972
29.2,7.9916817739976045,3.9948572235931064
29.3,7.991760823710798,3.9949061569027653
29.4,7.991839133064946,3.9949546096225954
29.5,7.9919166970580795,3.9950026035754025
29.6,7.991993522722305,3.995050143153859
29.7,7.992069617034542,3.995097232664617
29.8,7.9921449869165215,3.995143876328305
29.9,7.992219639234789,3.9951900782795327
30,7.992293580800704,3.9952358425668844
30.1,7.992366818370439,3.995281173152925
30.2,7.992439358644981,3.9953260739141974
30.3,7.9925112082701295,3.995370548641222
30.4,7.992582373836498,3.9954146010384974
30.5,7.992652861879513,3.9954582347245
30.6,7.992722678879416,3.995501453231687
30.7,7.992791831529143,3.9955442608047425
30.8,7.99286032870477,3.9955866682722596
30.9,7.992928174706372,3.9956286729053536
31,7.992995375876153,3.995670278138862
31.1,7.993061938504723,3.995711487332299
31.2,7.9931278688310945,3.9957523037698497
31.3,7.993193173042684,3.9957927306603804
31.4,7.99325785727531,3.9958327711374286
31.5,7.993321927613198,3.9958724282592066
31.6,7.993385390088972,3.995911705008605
31.7,7.993448250683661,3.9959506042931867
31.8,7.993510515326701,3.9959891289451908
31.9,7.993572189895923,3.996027281721532
32,7.993633280217572,3.996065065303801
32.1,7.993693792066287,3.99610248229826
32.2,7.993753725820182,3.9961395629738217
32.3,7.993813089693062,3.9961762965923513
32.4,7.993871890241624,3.9962126806722913
32.5,7.993930132839583,3.99624871852821
32.6,7.993987822800857,3.9962844134418645
32.7,7.994044965379584,3.9963197686622003
32.8,7.994101565770108,3.996354787405355
32.9,7.994157629106985,3.9963894728546503
33,7.994213160464983,3.9964238281606
