"time","tank1.h","tank2.Q1","tank2.h"
30.7,4.013458952852405,2.0033619125990203,57.38654104714763
30.8,4.013126863714793,2.0032790279226687,57.586873136285256
30.9,4.012802960937425,2.003198183140506,57.78719703906262
31,4.012487056358895,2.0031193315324214,57.98751294364116
31.1,4.0121789421877745,2.0030424214648512,58.18782105781227
31.2,4.011878427149296,2.0029674054136017,58.38812157285075
31.3,4.01158532444801,2.002894236960107,58.58841467555204
31.4,4.011299451601774,2.0028228707506246,58.78870054839827
31.5,4.0110206302757465,2.0027532624553994,58.9889793697243
31.6,4.0107486861163775,2.0026853687277932,59.18925131388368
31.7,4.01048344858539,2.0026191471633816,59.38951655141466
31.8,4.010224767278474,2.002554560374941,59.58977523272158
31.9,4.009972470919645,2.0024915657549336,59.790027529080405
32,4.00972640117905,2.0024301239191966,59.990273598821005
32.1,4.009486403380369,2.0023701963873637,60.190513596619674
32.2,4.009252326098797,2.002311745482905,60.39074767390125
32.3,4.009024021008535,2.0022547342954478,60.59097597899151
32.4,4.008801342730265,2.002199126643068,60.79119865726978
32.5,4.0085841486786435,2.002144887034563,60.991415851321406
32.6,4.00837232250886,2.0020919865253095,61.1916276774912
32.7,4.00816573465846,2.0020403928638553,61.3918342653416
32.8,4.007964242827082,2.001990070611511,61.592035757172965
32.9,4.0077677195670045,2.001940988033115,61.79223228043303
33,4.00757604012414,2.001893114060823,61.992423959875914
33.1,4.007389082319718,2.0018464182648272,62.19261091768034
33.2,4.007206726431981,2.001800870824064,62.392793273568074
33.3,4.007028855077893,2.001756442496912,62.59297114492215
33.4,4.006855362333447,2.0017131068995493,62.79314463766662
33.5,4.006686170193268,2.0016708446178826,62.993313829806795
33.6,4.006521148683989,2.0016296232530104,63.19347885131607
33.7,4.006360194540338,2.001589417073426,63.393639805459735
33.8,4.006203206980156,2.0015502009642816,63.59379679301991
33.9,4.006050087624853,2.0015119504077044,63.793949912375204
34,4.005900740419881,2.0014746414631093,63.99409925958019
34.1,4.0057550715552,2.001438250747497,64.19424492844487
34.2,4.005612989385742,2.0014027554157465,64.39438701061432
34.3,4.005474418868507,2.001368136767573,64.59452558113156
34.4,4.005339268385599,2.001334371959268,64.79466073161446
34.5,4.005207452402814,2.0013014396644038,64.99479254759724
34.6,4.005078889465356,2.0012693195732942,65.19492111053471
34.7,4.004953500161928,2.0012379918845054,65.39504649983816
34.8,4.004831207059293,2.0012074372886217,65.59516879294077
34.9,4.004711934636814,2.0011776369520056,65.79528806536325
35,4.004595609221027,2.0011485725005596,65.99540439077904
35.1,4.004482157320676,2.001120225603818,66.19551784267941
35.2,4.004371507315291,2.001092578396934,66.3956284926848
35.3,4.004263591625895,2.001065614023162,66.5957364083742
35.4,4.004158342833628,2.0010393156641446,66.79584165716643
35.5,4.004055694981195,2.0010136668651706,66.99594430501888
35.6,4.003955583504372,2.000988651518137,67.1960444164957
35.7,4.003857945163533,2.000964253844514,67.39614205483655
35.8,4.003762717975163,2.0009404583783006,67.59623728202492
35.9,4.003669843088778,2.0009172504351045,67.7963301569113
36,4.003579282066671,2.000894620430239,67.99642071793342
36.1,4.003490965342256,2.0008725509992527,68.19650903465784
36.2,4.003404838175458,2.0008510284814953,68.39659516182462
36.3,4.0033208471024615,2.0008300395342085,68.59667915289761
36.4,4.003238939886475,2.000809571120269,68.79676106011361
36.5,4.003159065468464,2.000789610495932,68.9968409345316
36.6,4.003081173917911,2.000770145198571,69.19691882608218
36.7,4.003005216383561,2.000751163034414,69.39699478361653
36.8,4.002931145044175,2.000732652066281,69.5970688549559
36.9,4.002858913059276,2.0007146006013143,69.7971410869408
37,4.002788474519899,2.000696997178708,69.99721152548018
37.1,4.0027197843993445,2.0006798305574396,70.19728021560074
37.2,4.002652798503921,2.000663089703991,70.39734720149617
37.3,4.002587473423704,2.0006467637800793,70.59741252657636
37.4,4.002523766483279,2.0006308421303713,70.79747623351679
37.5,4.002461635692494,2.0006153142702106,70.99753836430757
37.6,4.00240105133117,2.000600172780951,71.19759894866891
37.7,4.002341989989874,2.0005854118207185,71.3976580100102
37.8,4.002284394483163,2.000571017105657,71.5977156055169
37.9,4.002228226965488,2.000556979184919,71.79777177303458
38,4.002173450196571,2.000543288758474,71.9978265498035
38.1,4.0021200274986,2.0005299366664326,72.19787997250148
38.2,4.002067922713419,2.000516913878365,72.39793207728667
38.3,4.002017100159725,2.0005042114826264,72.59798289984035
38.4,4.0019675245902615,2.000491820675671,72.79803247540981
38.5,4.001919161149012,2.000479732751375,72.99808083885105
38.6,4.0018719753283865,2.0004679390903486,73.19812802467169
38.7,4.001825932926431,2.000456431149259,73.39817406707364
38.8,4.001781000004007,2.0004452004501414,73.598219
38.9,4.0017371428419874,2.000434238569713,73.79826285715808
39,4.001694327898457,2.0004235371286896,73.99830567210162
39.1,4.001652608198465,2.0004131093847755,74.1983473918016
39.2,4.001611992994954,2.000402957655021,74.39838800700512
39.3,4.001572378839874,2.0003930560866965,74.5984276211602
39.4,4.001533740755248,2.000383398440221,74.7984662592448
39.5,4.001496054366259,2.0003739786265617,74.99850394563381
39.6,4.001459295880182,2.0003647907019815,75.19854070411988
39.7,4.001423442065292,2.000355828862778,75.39857655793479
39.8,4.001388470229792,2.0003470874400255,75.59861152977027
39.9,4.001354358200743,2.000338560894316,75.79864564179931
40,4.001321084302973,2.0003302438104997,75.99867891569711
40.1,4.0012886273380115,2.000322130892425,76.19871137266206
40.2,4.001256966563003,2.0003142169576766,76.39874303343706
40.3,4.001226081669634,2.000306496932316,76.59877391833044
40.4,4.001195952763053,2.000298965845619,76.79880404723701
40.5,4.001166560340803,2.000291618824816,76.99883343965926
40.6,4.0011378969936215,2.000284454019883,77.19886210300645
40.7,4.001109943376487,2.0002774665971934,77.3988900566236
40.8,4.001082675846655,2.0002706506487202,77.5989173241534
40.9,4.00105607705741,2.00026400184011,77.79894392294267
41,4.001030130006661,2.0002575159230527,77.99896986999342
41.1,4.001004818017678,2.000251188730475,78.1989951819824
41.2,4.000980124719829,2.0002450161717262,78.39901987528025
41.3,4.000956034029311,2.0002389942277676,78.59904396597076
41.4,4.0009325301298855,2.0002331189463605,78.79906746987018
41.5,4.000909597453613,2.0002273864372553,78.99909040254647
41.6,4.000887220661584,2.000221792867377,79.19911277933848
41.7,4.000865384624655,2.0002163344560144,79.39913461537544
41.8,4.000844074404187,2.0002110074700084,79.59915592559588
41.9,4.000823275232771,2.000205808218937,79.79917672476729
42,4.000802972494973,2.000200733050304,79.9991970275051
42.1,4.0007832013331175,2.000195790749775,80.19921679866695
42.2,4.000763928282639,2.0001909729529928,80.39923607171744
42.3,4.0007451289475835,2.000186273562436,80.5992548710525
42.4,4.0007267917977805,2.0001816896966584,80.79927320820228
42.5,4.000708905547062,2.000177218535163,80.999291094453
42.6,4.000691459139726,2.0001728573150186,81.19930854086034
42.7,4.000674441737003,2.00016860332748,81.39932555826307
42.8,4.000657842703514,2.000164453914606,81.59934215729655
42.9,4.000641651593744,2.0001604064658776,81.79935834840633
